Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Madison, WI","Detroit, MI",5,Silver,37,Female,2,2010,26,5,Business travel,2,0,26,Eco,16,3/16/14,DL,Sigma Airlines Inc.,Michigan,Wisconsin,13,0,0,No,55,311,no,-83.227554,42.490005,-89.250087,43.025075
"St. Louis, MO","Chicago, IL",3,Blue,66,Male,1,2006,24,8,Personal Travel,0,60,60,Eco,1,2/1/14,WN,Cheapseats Airlines Inc.,Illinois,Missouri,7,NA,NA,Yes,NA,251,no,-87.895427,41.827126,-90.340926,38.630705
"Atlanta, GA","Tampa, FL",3,Blue,16,Male,1,2006,36,10,Personal Travel,3,0,20,Eco,27,1/27/14,DL,Sigma Airlines Inc.,Florida,Georgia,7,0,0,No,73,406,no,-82.513188,28.006247,-84.331858,33.824102
"Atlanta, GA","Washington, DC",2,Blue,16,Male,2,2010,36,10,Personal Travel,3,0,20,Eco,16,2/16/14,DL,Sigma Airlines Inc.,Virginia,Georgia,11,0,0,No,80,547,no,-77.18974,38.897394,-84.331858,33.824102
"Atlanta, GA","Columbia, SC",4,Blue,37,Male,1,2008,11,7,Business travel,0,180,20,Eco,4,3/4/14,EV,FlyFast Airways Inc.,South Carolina,Georgia,10,0,0,No,48,192,no,-81.077207,34.036236,-84.331858,33.824102
"Jackson, WY","Chicago, IL",4,Blue,43,Female,2,2007,10,22,Business travel,2,0,75,Eco,9,3/9/14,OU,Oursin Airlines Inc.,Illinois,Wyoming,9,0,0,No,160,1162,no,-87.895427,41.827126,-110.756716,43.471616
"Manchester, NH","Orlando, FL",4,Blue,42,Male,1,2008,25,6,Business travel,1,0,60,Eco,1,2/1/14,WN,Cheapseats Airlines Inc.,Florida,New Hampshire,11,3,0,No,142,1142,no,-81.411184,28.584434,-71.479666,42.991043
"Durango, CO","Denver, CO",4,Blue,35,Female,1,2011,46,6,Business travel,1,0,35,Eco,27,2/27/14,EV,FlyFast Airways Inc.,Colorado,Colorado,13,10,6,No,47,251,yes,-104.955096,39.710774,-107.869874,37.289287
"Houston, TX","Dallas, TX",4,Blue,39,Female,1,2008,8,3,Business travel,1,0,45,Eco,6,1/6/14,WN,Cheapseats Airlines Inc.,Texas,Texas,21,75,69,No,40,239,yes,-96.972001,32.812727,-95.393531,29.784308
"Chicago, IL","Fargo, ND",3,Gold,61,Female,1,2011,26,10,Personal Travel,0,10,35,Eco,24,2/24/14,EV,FlyFast Airways Inc.,North Dakota,Illinois,6,0,0,No,74,557,no,-96.82068,46.86245,-87.895427,41.827126
"Los Angeles, CA","Reno, NV",3,Blue,59,Female,1,2003,12,1,Business travel,1,5,111,Eco,10,3/10/14,WN,Cheapseats Airlines Inc.,Nevada,California,8,0,4,No,64,391,no,-119.797255,39.532575,-118.104332,33.982668
"Chicago, IL","New York, NY",5,Gold,58,Male,1,2005,0,8,Business travel,0,10,30,Eco,24,2/24/14,AA,Paul Smith Airlines Inc.,New York,Illinois,6,0,0,No,118,733,no,-73.970221,40.718357,-87.895427,41.827126
"Columbia, SC","New York, NY",3,Blue,60,Female,1,2006,25,6,Personal Travel,0,0,5,Eco,10,1/10/14,EV,FlyFast Airways Inc.,New York,South Carolina,19,0,0,No,96,617,no,-73.970221,40.718357,-81.077207,34.036236
"Phoenix, AZ","San Diego, CA",4,Silver,27,Female,2,2010,20,9,Business travel,0,0,30,Eco Plus,11,2/11/14,WN,Cheapseats Airlines Inc.,California,Arizona,10,9,0,No,48,304,no,-117.128799,32.928728,-111.970041,33.494067
"Cincinnati, OH","Denver, CO",4,Blue,37,Male,1,2012,24,3,Business travel,1,0,20,Eco,26,2/26/14,F9,GoingNorth Airlines Inc.,Colorado,Kentucky,19,8,10,No,133,1069,yes,-104.955096,39.710774,-84.462043,39.185505
"Anchorage, AK","Seattle, WA",3,Blue,61,Female,1,2012,26,8,Personal Travel,0,0,105,Eco Plus,4,1/4/14,AS,FlyToSun Airlines Inc.,Washington,Alaska,20,9,0,No,194,1448,no,-122.274661,47.468409,-149.847166,61.167916
"Chicago, IL","Miami, FL",3,Blue,44,Female,1,2008,33,37,Business travel,3,0,60,Eco,27,3/27/14,AA,Paul Smith Airlines Inc.,Florida,Illinois,13,0,0,No,172,1197,no,-80.231428,26.175616,-87.895427,41.827126
"Atlanta, GA","Charlottesville, VA",3,Platinum,77,Female,2,2005,26,5,Personal Travel,0,0,60,Eco,26,1/26/14,EV,FlyFast Airways Inc.,Virginia,Georgia,16,0,0,No,83,457,no,-78.483837,38.057542,-84.331858,33.824102
"Detroit, MI","Omaha, NE",4,Blue,35,Female,1,2003,5,9,Business travel,1,0,60,Eco,30,1/30/14,OO,Northwest Business Airlines Inc.,Nebraska,Michigan,6,0,0,No,95,651,no,-96.034641,41.234859,-83.227554,42.490005
"Phoenix, AZ","Houston, TX",3,Gold,63,Male,1,2007,36,8,Personal Travel,0,90,80,Eco,30,3/30/14,WN,Cheapseats Airlines Inc.,Texas,Arizona,18,1,0,No,156,1020,no,-95.393531,29.784308,-111.970041,33.494067
"Charlotte, NC","Phoenix, AZ",2,Blue,69,Female,1,2008,49,6,Personal Travel,0,0,90,Eco,29,1/29/14,US,Southeast Airlines Co.,Arizona,North Carolina,7,0,0,No,203,1773,no,-111.970041,33.494067,-80.815826,35.249654
"Orlando, FL","Philadelphia, PA",3,Blue,77,Male,1,2012,21,3,Business travel,0,0,45,Eco,14,2/14/14,US,Southeast Airlines Co.,Pennsylvania,Florida,18,6,16,No,129,861,yes,-75.298163,39.973331,-81.411184,28.584434
"New York, NY","Syracuse, NY",2,Blue,66,Male,0,2011,40,8,Personal Travel,0,0,105,Eco,26,1/26/14,B6,OnlyJets Airlines Inc.,New York,New York,14,12,15,No,55,209,yes,-76.164008,43.090425,-73.970221,40.718357
"Orlando, FL","Minneapolis, MN",4,Platinum,33,Male,1,2006,28,29,Business travel,1,21,60,Eco,27,1/27/14,DL,Sigma Airlines Inc.,Minnesota,Florida,7,0,0,No,153,1310,no,-93.2798,44.978156,-81.411184,28.584434
"Phoenix, AZ","Spokane, WA",3,Blue,18,Female,1,2003,23,20,Mileage tickets,1,161,30,Eco,7,3/7/14,US,Southeast Airlines Co.,Washington,Arizona,15,18,2,No,124,1020,no,-117.352257,47.68043,-111.970041,33.494067
"Houston, TX","Dallas, TX",3,Blue,78,Female,2,2003,17,2,Personal Travel,0,0,30,Eco,7,3/7/14,WN,Cheapseats Airlines Inc.,Texas,Texas,17,6,0,No,42,239,no,-96.972001,32.812727,-95.393531,29.784308
"Chicago, IL","San Francisco, CA",5,Blue,65,Male,1,2010,23,10,Mileage tickets,0,0,20,Eco,4,3/4/14,OU,Oursin Airlines Inc.,California,Illinois,7,0,0,No,214,1846,no,-122.383287,37.754645,-87.895427,41.827126
"San Francisco, CA","Seattle, WA",2,Blue,39,Male,1,2008,14,18,Personal Travel,6,120,100,Eco,20,3/20/14,VX,Cool&Young Airlines Inc.,Washington,California,6,5,0,No,98,679,no,-122.274661,47.468409,-122.383287,37.754645
"Washington, DC","Boston, MA",5,Silver,36,Female,1,2009,6,54,Business travel,2,0,45,Eco,7,3/7/14,B6,OnlyJets Airlines Inc.,Massachusetts,Virginia,16,56,52,No,74,413,yes,-71.140708,42.373132,-77.18974,38.897394
"Atlanta, GA","Baton Rouge, LA",2,Blue,53,Female,2,2007,23,9,Personal Travel,0,20,45,Eco,16,1/16/14,EV,FlyFast Airways Inc.,Louisiana,Georgia,7,18,13,No,65,448,yes,-91.038912,30.427885,-84.331858,33.824102
"Idaho Falls, ID","Salt Lake City, UT",4,Silver,53,Male,2,2009,10,10,Personal Travel,0,62,280,Eco,29,3/29/14,OO,Northwest Business Airlines Inc.,Utah,Idaho,11,0,0,No,33,188,no,-111.929515,40.640838,-112.00085,43.495177
"Idaho Falls, ID","Salt Lake City, UT",4,Blue,39,Male,1,2003,24,16,Business travel,1,0,30,Eco,21,2/21/14,OO,Northwest Business Airlines Inc.,Utah,Idaho,17,3,0,No,36,188,no,-111.929515,40.640838,-112.00085,43.495177
"Phoenix, AZ","New York, NY",5,Gold,44,Female,1,2005,0,19,Business travel,2,240,90,Eco,27,3/27/14,DL,Sigma Airlines Inc.,New York,Arizona,8,0,0,No,309,2153,no,-73.970221,40.718357,-111.970041,33.494067
"Houston, TX","Orlando, FL",2,Blue,23,Male,2,2012,54,6,Personal Travel,0,5,5,Eco,15,3/15/14,OU,Oursin Airlines Inc.,Florida,Texas,15,11,19,No,143,854,yes,-81.411184,28.584434,-95.393531,29.784308
"New Orleans, LA","Los Angeles, CA",4,Blue,41,Male,1,2010,43,2,Mileage tickets,0,25,60,Eco,10,3/10/14,WN,Cheapseats Airlines Inc.,California,Louisiana,8,0,0,No,199,1670,no,-118.104332,33.982668,-90.143683,29.954653
"Baltimore, MD","Atlanta, GA",2,Platinum,35,Male,1,2003,18,1,Business travel,2,10,93,Eco,3,1/3/14,DL,Sigma Airlines Inc.,Georgia,Maryland,7,0,0,No,82,577,no,-84.331858,33.824102,-76.64776,39.234099
"Las Vegas, NV","Phoenix, AZ",5,Gold,52,Female,1,2003,6,1,Business travel,0,0,0,Eco,13,1/13/14,US,Southeast Airlines Co.,Arizona,Nevada,17,0,0,No,44,255,no,-111.970041,33.494067,-115.167218,36.134893
"New Orleans, LA","Miami, FL",3,Blue,36,Female,1,2007,7,9,Business travel,2,60,120,Eco,22,3/22/14,AA,Paul Smith Airlines Inc.,Florida,Louisiana,16,0,0,No,106,675,no,-80.231428,26.175616,-90.143683,29.954653
"Washington, DC","Indianapolis, IN",4,Blue,34,Male,2,2009,19,7,Business travel,2,0,105,Eco,10,3/10/14,EV,FlyFast Airways Inc.,Indiana,Virginia,19,0,0,No,70,476,no,-86.145521,39.811262,-77.18974,38.897394
"Phoenix, AZ","Washington, DC",5,Silver,39,Female,1,2007,11,9,Business travel,2,75,110,Eco,9,1/9/14,OU,Oursin Airlines Inc.,Virginia,Arizona,17,5,0,No,279,1956,no,-77.18974,38.897394,-111.970041,33.494067
"Austin, TX","San Jose, CA",1,Blue,32,Female,1,2012,26,4,Business travel,0,0,150,Eco Plus,22,2/22/14,WN,Cheapseats Airlines Inc.,California,Texas,10,83,63,No,166,1476,yes,-121.945145,37.329845,-97.761533,30.358514
"Boston, MA","St. Louis, MO",3,Silver,58,Male,1,2008,7,4,Business travel,1,15,150,Eco,5,3/5/14,WN,Cheapseats Airlines Inc.,Missouri,Massachusetts,8,0,0,No,125,1047,no,-90.340926,38.630705,-71.140708,42.373132
"Chicago, IL","Philadelphia, PA",3,Silver,75,Male,1,2007,10,7,Personal Travel,0,50,100,Eco,24,2/24/14,OU,Oursin Airlines Inc.,Pennsylvania,Illinois,16,23,28,No,119,678,yes,-75.298163,39.973331,-87.895427,41.827126
"Santa Maria, CA","Los Angeles, CA",4,Silver,27,Female,2,2004,21,29,Business travel,1,0,30,Eco,21,2/21/14,OO,Northwest Business Airlines Inc.,California,California,12,0,0,No,31,134,no,-118.104332,33.982668,-120.438878,34.911814
"Atlanta, GA","Jacksonville, FL",4,Blue,55,Male,1,2004,9,8,Business travel,0,0,85,Eco Plus,23,1/23/14,FL,FlyHere Airways,Florida,Georgia,12,42,43,No,43,270,yes,-81.64274,30.24014,-84.331858,33.824102
"Atlanta, GA","Boston, MA",4,Silver,36,Female,1,2008,12,33,Business travel,2,145,5,Eco,28,3/28/14,DL,Sigma Airlines Inc.,Massachusetts,Georgia,16,11,22,No,149,946,yes,-71.140708,42.373132,-84.331858,33.824102
"Orlando, FL","Miami, FL",3,Blue,85,Female,1,2008,6,9,Business travel,1,0,90,Eco,16,2/16/14,AA,Paul Smith Airlines Inc.,Florida,Florida,18,1,7,No,41,192,yes,-80.231428,26.175616,-81.411184,28.584434
"Houston, TX","Atlanta, GA",3,Gold,68,Male,1,2003,24,1,Personal Travel,0,10,110,Eco,26,3/26/14,DL,Sigma Airlines Inc.,Georgia,Texas,20,0,0,No,106,696,no,-84.331858,33.824102,-95.393531,29.784308
"Minneapolis, MN","Brainerd, MN",4,Blue,29,Male,2,2009,52,8,Mileage tickets,0,0,15,Eco,9,3/9/14,OO,Northwest Business Airlines Inc.,Minnesota,Minnesota,15,0,0,No,26,114,no,-94.219552,46.358835,-93.2798,44.978156
"Houston, TX","Corpus Christi, TX",4,Blue,51,Female,1,2007,31,13,Business travel,1,0,45,Eco,23,2/23/14,EV,FlyFast Airways Inc.,Texas,Texas,14,0,0,No,41,201,no,-97.412599,27.745333,-95.393531,29.784308
"Atlanta, GA","Denver, CO",3,Gold,39,Female,1,2009,24,18,Business travel,1,55,105,Business,7,3/7/14,DL,Sigma Airlines Inc.,Colorado,Georgia,10,0,0,No,142,1199,no,-104.955096,39.710774,-84.331858,33.824102
"Chicago, IL","Traverse City, MI",1,Blue,51,Male,1,2003,40,2,Personal Travel,0,0,90,Eco,10,1/10/14,EV,FlyFast Airways Inc.,Michigan,Illinois,15,69,83,No,52,224,yes,-85.624012,44.731025,-87.895427,41.827126
"Orlando, FL","Buffalo, NY",5,Silver,44,Male,1,2009,10,3,Business travel,2,0,70,Eco,22,1/22/14,WN,Cheapseats Airlines Inc.,New York,Florida,7,11,0,No,131,1011,no,-78.823675,42.92493,-81.411184,28.584434
"San Diego, CA","Atlanta, GA",4,Blue,29,Female,2,2003,0,31,Mileage tickets,2,120,120,Eco,18,3/18/14,DL,Sigma Airlines Inc.,Georgia,California,20,3,0,No,267,1892,no,-84.331858,33.824102,-117.128799,32.928728
"Salt Lake City, UT","Denver, CO",1,Blue,51,Male,1,2005,17,10,Business travel,1,15,90,Eco Plus,27,2/27/14,F9,GoingNorth Airlines Inc.,Colorado,Utah,16,155,162,No,67,391,yes,-104.955096,39.710774,-111.929515,40.640838
"Buffalo, NY","Chicago, IL",4,Blue,35,Male,1,2006,14,10,Business travel,2,15,90,Eco,21,1/21/14,MQ,EnjoyFlying Air Services,Illinois,New York,13,153,151,No,63,473,yes,-87.895427,41.827126,-78.823675,42.92493
"Des Moines, IA","Denver, CO",4,Blue,44,Female,2,2011,35,8,Business travel,0,15,50,Eco,7,3/7/14,OO,Northwest Business Airlines Inc.,Colorado,Iowa,16,57,75,No,79,589,yes,-104.955096,39.710774,-93.656127,41.619352
"Phoenix, AZ","Chicago, IL",2,Gold,74,Female,1,2003,46,6,Personal Travel,0,30,45,Business,5,3/5/14,US,Southeast Airlines Co.,Illinois,Arizona,11,0,27,No,204,1440,yes,-87.895427,41.827126,-111.970041,33.494067
"Bozeman, MT","Denver, CO",3,Blue,63,Female,1,2009,15,36,Personal Travel,1,120,80,Eco Plus,5,3/5/14,OU,Oursin Airlines Inc.,Colorado,Montana,19,0,0,No,83,524,no,-104.955096,39.710774,-111.057553,45.683919
"Eagle, CO","Houston, TX",4,Blue,51,Female,2,2004,8,7,Business travel,0,0,15,Eco,29,3/29/14,OU,Oursin Airlines Inc.,Texas,Colorado,12,0,0,No,144,934,no,-95.393531,29.784308,-106.826253,39.644579
"Minneapolis, MN","Grand Rapids, MI",3,Blue,44,Female,1,2005,0,9,Business travel,3,45,30,Eco,10,1/10/14,DL,Sigma Airlines Inc.,Michigan,Minnesota,16,0,0,No,77,408,no,-85.6686,42.942857,-93.2798,44.978156
"Kansas City, MO","San Francisco, CA",3,Blue,18,Female,1,2007,18,6,Business travel,3,0,5,Eco,1,2/1/14,OO,Northwest Business Airlines Inc.,California,Missouri,13,7,3,No,172,1499,no,-122.383287,37.754645,-94.594897,39.039792
"Chicago, IL","Seattle, WA",4,Blue,23,Female,1,2003,3,31,Business travel,1,0,40,Eco,23,1/23/14,WN,Cheapseats Airlines Inc.,Washington,Illinois,13,0,22,No,238,1733,yes,-122.274661,47.468409,-87.895427,41.827126
"Atlanta, GA","Philadelphia, PA",2,Blue,77,Male,1,2003,33,5,Personal Travel,0,0,60,Eco,27,1/27/14,US,Southeast Airlines Co.,Pennsylvania,Georgia,18,0,0,No,112,666,no,-75.298163,39.973331,-84.331858,33.824102
"Atlanta, GA","New Orleans, LA",5,Silver,50,Male,1,2012,0,1,Business travel,2,0,60,Eco,1,3/1/14,DL,Sigma Airlines Inc.,Louisiana,Georgia,7,0,0,No,55,425,no,-90.143683,29.954653,-84.331858,33.824102
"Chicago, IL","New York, NY",3,Blue,36,Female,2,2008,0,7,Mileage tickets,1,125,15,Eco,24,1/24/14,WN,Cheapseats Airlines Inc.,New York,Illinois,6,0,0,No,112,725,no,-73.970221,40.718357,-87.895427,41.827126
"Detroit, MI","Salt Lake City, UT",3,Blue,80,Female,2,2010,35,8,Personal Travel,0,0,60,Eco,14,1/14/14,DL,Sigma Airlines Inc.,Utah,Michigan,9,2,0,No,185,1481,no,-111.929515,40.640838,-83.227554,42.490005
"Tampa, FL","St. Louis, MO",4,Blue,55,Male,1,2006,15,4,Business travel,0,0,100,Eco,6,1/6/14,WN,Cheapseats Airlines Inc.,Missouri,Florida,10,34,38,No,120,869,yes,-90.340926,38.630705,-82.513188,28.006247
"San Diego, CA","San Francisco, CA",3,Blue,48,Female,1,2012,56,3,Personal Travel,2,0,20,Eco,16,1/16/14,OU,Oursin Airlines Inc.,California,California,19,0,0,No,67,447,no,-122.383287,37.754645,-117.128799,32.928728
"Milwaukee, WI","Washington, DC",3,Blue,71,Female,1,2005,8,8,Personal Travel,0,140,300,Business,17,1/17/14,FL,FlyHere Airways,Virginia,Wisconsin,6,0,0,No,96,634,no,-77.18974,38.897394,-88.100492,43.055654
"Seattle, WA","Las Vegas, NV",2,Platinum,35,Female,2,2007,15,4,Personal Travel,1,0,105,Eco,21,3/21/14,AS,FlyToSun Airlines Inc.,Nevada,Washington,9,0,0,No,130,867,no,-115.167218,36.134893,-122.274661,47.468409
"Salt Lake City, UT","San Jose, CA",5,Silver,42,Female,1,2012,24,4,Business travel,0,0,199,Eco Plus,10,2/10/14,OO,Northwest Business Airlines Inc.,California,Utah,10,0,24,No,94,584,yes,-121.945145,37.329845,-111.929515,40.640838
"Baltimore, MD","Salt Lake City, UT",1,Platinum,71,Female,1,2012,58,10,Personal Travel,0,0,30,Eco,17,1/17/14,WN,Cheapseats Airlines Inc.,Utah,Maryland,14,292,291,No,217,1865,yes,-111.929515,40.640838,-76.64776,39.234099
"Tampa, FL","Houston, TX",4,Gold,58,Female,1,2008,2,17,Business travel,1,0,165,Eco,2,3/2/14,WN,Cheapseats Airlines Inc.,Texas,Florida,10,0,0,No,92,781,no,-95.393531,29.784308,-82.513188,28.006247
"New York, NY","Charlotte, NC",4,Blue,44,Male,2,2005,13,2,Mileage tickets,0,45,105,Eco,1,3/1/14,US,Southeast Airlines Co.,North Carolina,New York,18,4,6,No,79,541,yes,-80.815826,35.249654,-73.970221,40.718357
"Baltimore, MD","Boston, MA",2,Blue,67,Female,2,2009,52,1,Personal Travel,0,15,30,Eco,16,3/16/14,WN,Cheapseats Airlines Inc.,Massachusetts,Maryland,7,0,0,No,69,369,no,-71.140708,42.373132,-76.64776,39.234099
"New York, NY","Chicago, IL",5,Silver,55,Male,1,2012,24,1,Business travel,0,60,105,Eco,12,1/12/14,AA,Paul Smith Airlines Inc.,Illinois,New York,12,0,0,No,95,733,no,-87.895427,41.827126,-73.970221,40.718357
"Orlando, FL","Pittsburgh, PA",2,Platinum,47,Male,1,2006,4,24,Business travel,2,0,66,Eco,20,2/20/14,WN,Cheapseats Airlines Inc.,Pennsylvania,Florida,14,13,8,No,112,834,yes,-79.951005,40.456961,-81.411184,28.584434
"Orlando, FL","Milwaukee, WI",1,Blue,65,Female,1,2012,6,9,Personal Travel,0,45,0,Eco,12,2/12/14,WN,Cheapseats Airlines Inc.,Wisconsin,Florida,12,0,23,No,152,1066,yes,-88.100492,43.055654,-81.411184,28.584434
"Charlotte, NC","Tampa, FL",3,Blue,39,Female,1,2003,22,12,Business travel,1,0,40,Eco Plus,7,3/7/14,US,Southeast Airlines Co.,Florida,North Carolina,10,0,15,No,85,507,yes,-82.513188,28.006247,-80.815826,35.249654
"Houston, TX","Huntsville, AL",3,Blue,40,Female,1,2010,14,7,Mileage tickets,2,0,15,Eco,16,1/16/14,EV,FlyFast Airways Inc.,Alabama,Texas,12,NA,NA,Yes,NA,595,no,-86.639233,34.741669,-95.393531,29.784308
"Chicago, IL","Denver, CO",3,Blue,26,Female,1,2004,29,23,Mileage tickets,1,0,45,Eco,6,2/6/14,MQ,EnjoyFlying Air Services,Colorado,Illinois,9,73,62,No,104,888,yes,-104.955096,39.710774,-87.895427,41.827126
"New York, NY","San Juan, PR",3,Blue,17,Male,2,2012,41,1,Business travel,1,0,15,Eco,21,2/21/14,B6,OnlyJets Airlines Inc.,Puerto Rico,New York,21,360,347,No,206,1598,yes,-66.116246,18.288174,-73.970221,40.718357
"Wichita, KS","Atlanta, GA",3,Blue,27,Male,2,2004,22,2,Business travel,1,0,180,Eco,14,2/14/14,EV,FlyFast Airways Inc.,Georgia,Kansas,16,126,128,No,122,782,yes,-84.331858,33.824102,-97.327333,37.679735
"Houston, TX","Atlanta, GA",4,Blue,32,Female,2,2009,35,7,Business travel,1,0,20,Eco,13,3/13/14,WN,Cheapseats Airlines Inc.,Georgia,Texas,6,0,0,No,120,696,no,-84.331858,33.824102,-95.393531,29.784308
"Atlanta, GA","Asheville, NC",2,Blue,69,Male,1,2008,23,1,Personal Travel,0,60,105,Eco,7,2/7/14,EV,FlyFast Airways Inc.,North Carolina,Georgia,8,0,0,No,34,164,no,-82.664713,35.536615,-84.331858,33.824102
"Chicago, IL","Las Vegas, NV",4,Gold,52,Male,2,2007,10,2,Mileage tickets,0,10,90,Eco,10,2/10/14,WN,Cheapseats Airlines Inc.,Nevada,Illinois,14,5,0,No,183,1521,no,-115.167218,36.134893,-87.895427,41.827126
"Los Angeles, CA","Orlando, FL",4,Blue,39,Female,1,2011,60,3,Mileage tickets,3,0,0,Eco,25,1/25/14,DL,Sigma Airlines Inc.,Florida,California,7,0,0,No,306,2218,no,-81.411184,28.584434,-118.104332,33.982668
"Phoenix, AZ","Washington, DC",4,Silver,34,Female,1,2007,7,40,Business travel,2,0,65,Eco,13,3/13/14,OU,Oursin Airlines Inc.,Virginia,Arizona,16,0,0,No,277,1956,no,-77.18974,38.897394,-111.970041,33.494067
"Chicago, IL","New York, NY",4,Blue,24,Female,1,2012,27,4,Business travel,0,5,25,Eco Plus,16,2/16/14,AA,Paul Smith Airlines Inc.,New York,Illinois,11,0,0,No,121,733,no,-73.970221,40.718357,-87.895427,41.827126
"San Juan, PR","New York, NY",3,Blue,26,Female,2,2012,15,9,Personal Travel,2,163,50,Eco,8,1/8/14,AA,Paul Smith Airlines Inc.,New York,Puerto Rico,16,3,0,No,201,1598,no,-73.970221,40.718357,-66.116246,18.288174
"New York, NY","Atlanta, GA",3,Blue,37,Male,2,2012,19,9,Business travel,2,185,125,Eco,8,1/8/14,FL,FlyHere Airways,Georgia,New York,17,0,0,No,98,762,no,-84.331858,33.824102,-73.970221,40.718357
"Phoenix, AZ","Santa Barbara, CA",4,Blue,34,Female,1,2006,6,26,Business travel,2,0,30,Eco,22,2/22/14,OO,Northwest Business Airlines Inc.,California,Arizona,12,0,0,No,68,455,no,-119.724102,34.42747,-111.970041,33.494067
"Omaha, NE","St. Louis, MO",4,Blue,16,Male,1,2010,5,8,Business travel,3,0,95,Eco Plus,22,2/22/14,WN,Cheapseats Airlines Inc.,Missouri,Nebraska,18,5,0,No,57,342,no,-90.340926,38.630705,-96.034641,41.234859
"Providence, RI","Atlanta, GA",3,Silver,40,Female,1,2003,29,9,Business travel,1,10,15,Eco Plus,3,3/3/14,DL,Sigma Airlines Inc.,Georgia,Rhode Island,9,57,40,No,104,903,yes,-84.331858,33.824102,-71.397401,41.776323
"Chicago, IL","Cleveland, OH",2,Blue,15,Male,1,2005,22,4,Business travel,2,0,45,Eco,28,3/28/14,MQ,EnjoyFlying Air Services,Ohio,Illinois,8,11,26,No,58,315,yes,-81.605443,41.443638,-87.895427,41.827126
"Detroit, MI","Phoenix, AZ",2,Blue,77,Female,1,2004,19,2,Personal Travel,0,235,75,Eco,19,2/19/14,DL,Sigma Airlines Inc.,Arizona,Michigan,11,22,10,No,183,1671,yes,-111.970041,33.494067,-83.227554,42.490005
"Chicago, IL","Boston, MA",4,Silver,46,Male,1,2004,4,6,Business travel,2,0,135,Eco,13,3/13/14,OU,Oursin Airlines Inc.,Massachusetts,Illinois,6,121,124,No,119,867,yes,-71.140708,42.373132,-87.895427,41.827126
"Atlanta, GA","Dothan, AL",5,Silver,27,Female,1,2009,15,10,Business travel,0,320,80,Eco Plus,16,1/16/14,EV,FlyFast Airways Inc.,Alabama,Georgia,5,0,6,No,33,170,yes,-85.425104,31.223667,-84.331858,33.824102
"Charlotte, NC","New Orleans, LA",3,Blue,51,Male,1,2011,23,9,Mileage tickets,1,0,65,Eco,13,2/13/14,US,Southeast Airlines Co.,Louisiana,North Carolina,12,NA,NA,Yes,NA,651,no,-90.143683,29.954653,-80.815826,35.249654
"San Diego, CA","San Antonio, TX",3,Blue,17,Female,1,2008,24,5,Personal Travel,3,60,120,Eco Plus,5,3/5/14,WN,Cheapseats Airlines Inc.,Texas,California,15,0,0,No,172,1129,no,-98.475376,29.514399,-117.128799,32.928728
"San Antonio, TX","Houston, TX",5,Silver,56,Female,1,2008,6,9,Business travel,0,20,90,Eco Plus,21,1/21/14,WN,Cheapseats Airlines Inc.,Texas,Texas,9,0,0,No,41,192,no,-95.393531,29.784308,-98.475376,29.514399
"Houston, TX","Dallas, TX",2,Blue,39,Male,1,2010,16,10,Business travel,0,0,55,Eco,26,3/26/14,WN,Cheapseats Airlines Inc.,Texas,Texas,6,0,1,No,45,239,no,-96.972001,32.812727,-95.393531,29.784308
"Phoenix, AZ","Philadelphia, PA",4,Blue,54,Male,2,2005,38,6,Mileage tickets,2,0,30,Eco,25,1/25/14,US,Southeast Airlines Co.,Pennsylvania,Arizona,13,0,8,No,281,2075,yes,-75.298163,39.973331,-111.970041,33.494067
"New Orleans, LA","Miami, FL",3,Blue,38,Male,1,2010,16,2,Mileage tickets,0,120,90,Eco,11,2/11/14,AA,Paul Smith Airlines Inc.,Florida,Louisiana,13,0,0,No,109,675,no,-80.231428,26.175616,-90.143683,29.954653
"Houston, TX","Laredo, TX",4,Gold,48,Female,1,2004,26,5,Business travel,0,69,55,Eco,28,2/28/14,EV,FlyFast Airways Inc.,Texas,Texas,16,0,0,No,52,301,no,-99.477843,27.535328,-95.393531,29.784308
"San Francisco, CA","Chicago, IL",3,Blue,43,Female,2,2006,16,5,Business travel,0,5,30,Eco,25,3/25/14,OU,Oursin Airlines Inc.,Illinois,California,16,0,9,No,249,1846,yes,-87.895427,41.827126,-122.383287,37.754645
"Atlanta, GA","Lafayette, LA",3,Blue,62,Female,1,2005,19,4,Personal Travel,0,85,110,Eco,31,3/31/14,EV,FlyFast Airways Inc.,Louisiana,Georgia,14,0,0,No,74,503,no,-92.013463,30.165247,-84.331858,33.824102
"Atlanta, GA","Pensacola, FL",4,Blue,39,Male,1,2006,43,31,Mileage tickets,4,0,100,Business,10,3/10/14,DL,Sigma Airlines Inc.,Florida,Georgia,14,0,0,No,49,271,no,-87.253422,30.48527,-84.331858,33.824102
